,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
0,ROOFTOP,"526 E 5th St, New York, NY 10009, USA",ChIJTwc-n4JZwokRVDQmrfd1Kik,"526 EAST 5TH STREET, Alphabet City, Manhattan, NY, USA",40.7242057,-73.983263,1,10009,OK,premise
1,ROOFTOP,"263 E 7th St, New York, NY 10009, USA",ChIJ3QQl9HlZwokRvK8T2VsWAT0,"263 EAST 7TH STREET, Alphabet City, Manhattan, NY, USA",40.723652,-73.97735449999999,1,10009,OK,street_address
2,ROOFTOP,"332 E 4th St, New York, NY 10009, USA",ChIJneNrEXlZwokR_oKjvGzEe1o,"332 EAST 4TH STREET, Alphabet City, Manhattan, NY, USA",40.7215558,-73.97903649999999,1,10009,OK,premise
3,ROOFTOP,"253 E 7th St, New York, NY 10009, USA",ChIJIeYfwXFZwokRWT5opQGzLY8,"275 EAST 7TH STREET, GD, Alphabet City, Manhattan, NY, USA",40.7238278,-73.9777762,1,10009,OK,"establishment,point_of_interest"
4,GEOMETRIC_CENTER,"Tompkins Square Park, E 10th St, New York, NY 10009, USA",ChIJgTDll51ZwokRVjN7KXztwXY,"434 EAST 10TH STREET, 4, Alphabet City, Manhattan, NY, USA",40.72642949999999,-73.9817841,1,10009,OK,"establishment,park,point_of_interest"
5,ROOFTOP,"133 Avenue D, New York, NY 10009, USA",ChIJReouoHBZwokR-2pu7Xsl4AE,"133 AVENUE D, Alphabet City, Manhattan, NY, USA",40.7245009,-73.97559319999999,1,10009,OK,premise
6,ROOFTOP,"21 Avenue B #23, New York, NY 10009, USA",ChIJ_asVdoJZwokRSNd25zJpOME,"21-23 AVENUE B, Alphabet City, Manhattan, NY, USA",40.7221321,-73.983082,1,10009,OK,subpremise
7,ROOFTOP,"620 E 6th St, New York, NY 10009, USA",ChIJz70EOHhZwokRmDoLDlnyqbU,"620 EAST 6TH STREET, Alphabet City, Manhattan, NY, USA",40.7239629,-73.980822,1,10009,OK,premise
8,ROOFTOP,"200 E 7th St, New York, NY 10009, USA",ChIJW532LXhZwokRvb8JKu9QyHs,"200 EAST 7TH STREET, Alphabet City, Manhattan, NY, USA",40.7244699,-73.980363,1,10009,OK,street_address
9,ROOFTOP,"632 E 11th St, New York, NY 10009, USA",ChIJT5GXJHdZwokR2dJEgCagZmg,"632 EAST 11TH STREET, Alphabet City, Manhattan, NY, USA",40.7267594,-73.9781659,1,10009,OK,premise
10,ROOFTOP,"96 Avenue C, New York, NY 10009, USA",ChIJWaWbwHlZwokRj1wHkvB84zE,"169 AVENUE C, 3B, Alphabet City, Manhattan, NY, USA",40.7236662,-73.9789232,1,10009,OK,"bar,establishment,food,liquor_store,point_of_interest,restaurant,store"
11,ROOFTOP,"165 Loisaida Ave, New York, NY 10009, USA",ChIJqVniNndZwokRbPuiNfD-U8c,"165 AVENUE C, 5B, Alphabet City, Manhattan, NY, USA",40.7260984,-73.97757349999999,2,10009,OK,street_address
12,ROOFTOP,"217 E 4th St, New York, NY 10009, USA",ChIJIWSHnIJZwokRaNwurHEq_Cs,"217 EAST 4TH ST, Alphabet City, Manhattan, NY, USA",40.7237808,-73.98334729999999,1,10009,OK,premise
13,ROOFTOP,"510 E 6th St, New York, NY 10009, USA",ChIJHbfeqIJZwokRp1y89w9BGcE,"510 EAST 6TH STREET, Alphabet City, Manhattan, NY, USA",40.7250036,-73.9833271,1,10009,OK,premise
14,ROOFTOP,"94 Avenue A, New York, NY 10009, USA",ChIJjRS-soJZwokRMfwZSuhwbwY,"94 AVENUE A, Alphabet City, Manhattan, NY, USA",40.7254892,-73.9836739,1,10009,OK,street_address
15,ROOFTOP,"519 E 6th St, New York, NY 10009, USA",ChIJAarYAHhZwokRVJ6h_q7zEuk,"519 EAST 6TH STREET, Alphabet City, Manhattan, NY, USA",40.7251378,-73.9828422,1,10009,OK,premise
16,ROOFTOP,"544 E 13th St, New York, NY 10009, USA",ChIJo7_pk3ZZwokRWKDWLlDrS2k,"544 EAST 13TH STREET, GA, Alphabet City, Manhattan, NY, USA",40.7288518,-73.9790482,1,10009,OK,street_address
17,ROOFTOP,"544 E 13th St, New York, NY 10009, USA",ChIJo7_pk3ZZwokRWKDWLlDrS2k,"544 EAST 13 STREET, 2C, Alphabet City, Manhattan, NY, USA",40.7288518,-73.9790482,2,10009,OK,street_address
18,ROOFTOP,"544 E 13th St, New York, NY 10009, USA",ChIJo7_pk3ZZwokRWKDWLlDrS2k,"544 EAST 13TH STREET, 4AB, Alphabet City, Manhattan, NY, USA",40.7288518,-73.9790482,1,10009,OK,street_address
19,ROOFTOP,"62 Avenue B, New York, NY 10009, USA",ChIJsW9ZcHhZwokRa6UAZxNsP4U,"62-74 AVENUE B, Alphabet City, Manhattan, NY, USA",40.723847,-73.98251499999999,1,10009,OK,street_address
20,ROOFTOP,"531 E 12th St, New York, NY 10009, USA",ChIJv2iv9HZZwokRFrbiAJPZFms,"531 EAST 12TH STREET, Alphabet City, Manhattan, NY, USA",40.7286491,-73.9797526,1,10009,OK,street_address
21,ROOFTOP,"531 E 12th St, New York, NY 10009, USA",ChIJv2iv9HZZwokRFrbiAJPZFms,"531 EAST 12TH STREET, Alphabet City, Manhattan, NY, USA",40.7286491,-73.9797526,1,10009,OK,street_address
22,ROOFTOP,"538 E 11th St, New York, NY 10009, USA",ChIJ5-wqVXZZwokRdDSrfiBGc3E,"538 EAST 11TH STREET, Alphabet City, Manhattan, NY, USA",40.727536,-73.98024199999999,1,10009,OK,street_address
23,ROOFTOP,"462 W 25th St, New York, NY 10001, USA",ChIJVx57cLdZwokRchTCkX_MacE,"462 WEST 25TH STREET, Chelsea, Manhattan, NY, USA",40.7487046,-74.00303149999999,1,10001,OK,premise
24,ROOFTOP,"332 W 20th St, New York, NY 10011, USA",ChIJPRNTQ7lZwokRArn6cH0nYVY,"332 WEST 20TH STREET, Chelsea, Manhattan, NY, USA",40.743833,-74.001375,1,10011,OK,street_address
25,ROOFTOP,"218 W 15th St, New York, NY 10011, USA",ChIJF6cn2r1ZwokRiMD2Yzu3EZE,"218 WEST 15TH STREET, Chelsea, Manhattan, NY, USA",40.7395393,-74.00025819999999,1,10011,OK,premise
26,ROOFTOP,"253 W 18th St, New York, NY 10011, USA",ChIJV-g5BbxZwokRvWn5Z7_tKj4,"253 WEST 18TH STREET, Chelsea, Manhattan, NY, USA",40.7421402,-74.00001379999999,1,10011,OK,premise
27,ROOFTOP,"240 W 21st St, New York, NY 10011, USA",ChIJX4chmrtZwokRHLbQWGn3qYI,"240 WEST 21ST STREET, Chelsea, Manhattan, NY, USA",40.743362,-73.9983206,1,10011,OK,premise
28,ROOFTOP,"540 W 29th St, New York, NY 10001, USA",ChIJf_sTirZZwokRMdOuG63esqI,"540 WEST 29TH STREET, Chelsea, Manhattan, NY, USA",40.7520846,-74.0035086,1,10001,OK,premise
29,ROOFTOP,"353 W 22nd St, New York, NY 10011, USA",ChIJf2KhhrlZwokRJHWs8cn8nJ4,"353 WEST 22ND STREET, Chelsea, Manhattan, NY, USA",40.7456612,-74.0009915,1,10011,OK,premise
30,ROOFTOP,"505 W 22nd St, New York, NY 10011, USA",ChIJ05IXPrhZwokRaomQN7JbDiE,"505 WEST 22ND STREET, Chelsea, Manhattan, NY, USA",40.7473619,-74.0050138,1,10011,OK,premise
31,ROOFTOP,"203 10th Ave, New York, NY 10011, USA",ChIJU1L-PrhZwokRCHBHnrr2Za0,"203 10TH AVENUE, Chelsea, Manhattan, NY, USA",40.7472226,-74.004857,1,10011,OK,street_address
32,ROOFTOP,"418 W 20th St, New York, NY 10011, USA",ChIJueXA47hZwokR0zl1IQ7DMk0,"418 WEST 20TH STREET, Chelsea, Manhattan, NY, USA",40.744844,-74.00383099999999,1,10011,OK,street_address
33,ROOFTOP,"445 W 21st St, New York, NY 10011, USA",ChIJ3-XNU7hZwokREkjBm6tUFTU,"445 WEST 21ST STREET, Chelsea, Manhattan, NY, USA",40.746155,-74.003888,1,10011,OK,street_address
34,ROOFTOP,"102 8th Ave, New York, NY 10011, USA",ChIJ_8rtiL5ZwokRwCl7skv5N7A,"102-116 EIGHTH AVENUE, Chelsea, Manhattan, NY, USA",40.7404544,-74.001721,1,10011,OK,street_address
35,ROOFTOP,"244 W 22nd St, New York, NY 10011, USA",ChIJ81i1oLtZwokR2-6h56suos0,"244 WEST 22ND STREET, Chelsea, Manhattan, NY, USA",40.7439014,-73.9978094,1,10011,OK,premise
36,ROOFTOP,"110 W 15th St, New York, NY 10011, USA",ChIJAe6vcb1ZwokRZdZd2W2cW1s,"110 WEST 15TH STREET, Chelsea, Manhattan, NY, USA",40.738143,-73.997102,1,10011,OK,street_address
37,ROOFTOP,"208 W 20th St, New York, NY 10011, USA",ChIJH7vOibtZwokRRnFRmm4jHp4,"208 WEST 20TH STREET, Chelsea, Manhattan, NY, USA",40.7423498,-73.9977248,1,10011,OK,premise
38,ROOFTOP,"242 10th Ave, New York, NY 10001, USA",ChIJdfnCfrdZwokRN4HjNTShpGs,"242 10TH AVENUE, Chelsea, Manhattan, NY, USA",40.748382,-74.00343160000001,1,10001,OK,street_address
39,ROOFTOP,"795 6th Ave, New York, NY 10001, USA",ChIJM7eOmqVZwokRVNEsaniXJT8,"795 6TH AVENUE, Chelsea, Manhattan, NY, USA",40.7456113,-73.9911125,1,10001,OK,street_address
40,ROOFTOP,"538 W 29th St, New York, NY 10001, USA",ChIJTzRIirZZwokRyQL1NzY1NG8,"538 WEST 29TH STREET, Chelsea, Manhattan, NY, USA",40.7520716,-74.0034168,1,10001,OK,premise
41,ROOFTOP,"35 Madison St, New York, NY 10038, USA",ChIJf8t1PSRawokR3wu9Iy4t7gc,"35 MADISON STREET, Chinatown, Manhattan, NY, USA",40.7120085,-73.9989112,1,10038,OK,premise
42,ROOFTOP,"102 Bayard St, New York, NY 10013, USA",ChIJB5f0OidawokRmgjC3I_lb3Y,"102 BAYARD STREET, Chinatown, Manhattan, NY, USA",40.7162523,-73.99964969999999,1,10013,OK,premise
43,ROOFTOP,"111 Mott St, New York, NY 10013, USA",ChIJLx7SKohZwokRwdBnrgntke8,"111 MOTT STREET, Chinatown, Manhattan, NY, USA",40.7176185,-73.9975048,1,10013,OK,premise
44,ROOFTOP,"119 Baxter St, New York, NY 10013, USA",ChIJlzPL2IlZwokR319YVRFN7d0,"119 BAXTER STREET, Chinatown, Manhattan, NY, USA",40.7179112,-73.99886529999999,1,10013,OK,premise
45,ROOFTOP,"185 Hester St, New York, NY 10013, USA",ChIJd5COLYhZwokRUPB310U-LK0,"185 HESTER STREET, Chinatown, Manhattan, NY, USA",40.7181635,-73.9974893,1,10013,OK,street_address
46,ROOFTOP,"116 Mott St, New York, NY 10013, USA",ChIJISdsJYhZwokRlgGqmsRWF3k,"116 MOTT STREET, Chinatown, Manhattan, NY, USA",40.718016,-73.9968573,1,10013,OK,street_address
47,ROOFTOP,"31 Catherine St, New York, NY 10038, USA",ChIJs9hC2CVawokRUFTFvi52Fp0,"31 CATHERINE STREET, Chinatown, Manhattan, NY, USA",40.7124954,-73.9968507,1,10038,OK,premise
48,ROOFTOP,"33 Henry St, New York, NY 10002, USA",ChIJQ-_NEyZawokRnbYSItzwN4o,"33 HENRY STREET, Chinatown, Manhattan, NY, USA",40.7131445,-73.9962542,1,10002,OK,premise
49,ROOFTOP,"41 Henry St, New York, NY 10002, USA",ChIJQ-_NEyZawokRcm2eQJXrhqk,"41 HENRY STREET, Chinatown, Manhattan, NY, USA",40.7131697,-73.9958869,1,10002,OK,premise
50,ROOFTOP,"87 Chrystie St, New York, NY 10002, USA",ChIJIW1p_IdZwokRShrMxd6tJn4,"87 CHRYSTIE STREET, Chinatown, Manhattan, NY, USA",40.7176023,-73.99446429999999,1,10002,OK,premise
51,ROOFTOP,"106 Bayard St #108, New York, NY 10013, USA",ChIJq84MOidawokR0qwyEUHAeJs,"106-108 BAYARD STREET, Chinatown, Manhattan, NY, USA",40.71634299999999,-73.99987209999999,1,10013,OK,subpremise
52,ROOFTOP,"103 Mosco St, New York, NY 10013, USA",ChIJ_07HwSZawokRNu_k1EaTalg,"103 MOSCO STREET, Chinatown, Manhattan, NY, USA",40.7144239,-73.9992853,1,10013,OK,premise
53,ROOFTOP,"27 Madison St, New York, NY 10038, USA",ChIJy7ztPSRawokRCJyD-TCi-Bw,"27 MADISON STREET, Chinatown, Manhattan, NY, USA",40.7120373,-73.9991393,1,10038,OK,street_address
54,ROOFTOP,"91 Franklin St, New York, NY 10013, USA",ChIJ-XIrbSBawokRoqDzhD1PXo4,"91 FRANKLIN STREET, Civic Center, Manhattan, NY, USA",40.7179068,-74.0050696,1,10013,OK,premise
55,ROOFTOP,"444 W 46th St, New York, NY 10036, USA",ChIJ-3hsiVFYwokR4lpVcR0ejZo,"444 WEST 46TH STREET, Clinton, Manhattan, NY, USA",40.7616536,-73.992857,1,10036,OK,premise
56,ROOFTOP,"439 W 46th St, New York, NY 10036, USA",ChIJlW1-hFFYwokRAYklR0JJyh8,"439 WEST 46TH STREET, Clinton, Manhattan, NY, USA",40.761762,-73.992261,1,10036,OK,premise
